customer_id,email,first_name,last_name,age,gender,annual_income,customer_segment,marital_status,education,location_type,city,state,country,signup_date,last_login,preferred_channel,is_active
1,romeroaaron@example.org,Taylor,Wells,21,F,38594,Low Value,Widowed,High School,Urban,Jessicafurt,Rhode Island,USA,2023-02-09,2023-03-04,Email,True
2,justinthompson@example.com,Brittany,Green,60,Other,79390,Mid Value,Single,High School,Urban,North Christianville,Wisconsin,USA,2024-07-31,2024-08-26,Web,True
3,woodsrobert@example.net,Russell,Carson,62,M,75106,Mid Value,Widowed,Bachelor,Suburban,Cartertown,Montana,USA,2023-12-11,2023-12-23,Email,True
4,elopez@example.com,Michael,Williams,44,Other,105015,High Value,Divorced,Bachelor,Urban,Floydville,Mississippi,USA,2024-06-23,2024-07-17,Mobile App,True
5,berryalfred@example.net,Jessica,York,33,F,50000,Low Value,Married,Bachelor,Urban,Davidberg,Michigan,USA,2023-03-26,2023-04-10,Mobile App,True
6,ktorres@example.net,Cameron,Warren,30,M,51736,Mid Value,Single,Bachelor,Rural,Courtneyland,Oklahoma,USA,2023-11-07,2023-11-11,Mobile App,True
7,alan05@example.org,Robert,Smith,74,Other,63506,Mid Value,Single,High School,Suburban,Rhodesstad,Minnesota,USA,2023-07-15,2023-07-22,Email,True
8,wardjoshua@example.net,Jason,Goodman,26,Other,36058,Low Value,Single,Some College,Urban,South Stephanie,Nevada,USA,2023-04-23,2023-05-15,Email,True
9,patriciafernandez@example.com,Jacob,Reyes,44,Other,97668,High Value,Widowed,Master,Suburban,Lisaland,Arizona,USA,2023-09-12,2023-09-12,Web,True
10,jennifer45@example.org,Christopher,Lopez,25,Other,41085,Low Value,Single,Master,Suburban,West Katherinestad,West Virginia,USA,2024-08-04,2024-08-30,Web,True
11,kyle88@example.net,Nancy,Caldwell,35,Other,68625,Mid Value,Married,Bachelor,Suburban,Lake Alexander,Oregon,USA,2024-11-04,2024-12-02,Mobile App,True
12,burnsmichael@example.net,Daniel,Gray,36,F,79528,Mid Value,Single,Some College,Rural,South Luisborough,Vermont,USA,2023-03-22,2023-03-28,Mobile App,True
13,larsonkelly@example.org,Jodi,Lara,34,F,86122,High Value,Single,Master,Rural,Lake Holly,Illinois,USA,2023-04-17,2023-05-17,Web,True
14,bgill@example.com,Justin,Smith,64,Other,90580,High Value,Single,High School,Suburban,Port Caseyburgh,Ohio,USA,2024-08-24,2024-09-02,Web,True
15,gordontaylor@example.com,Jeremy,Wheeler,23,F,42749,Low Value,Widowed,Some College,Suburban,Williamsstad,Virginia,USA,2023-02-18,2023-02-21,Mobile App,True
16,jennifercooper@example.net,Raymond,Lopez,55,F,101131,High Value,Widowed,Bachelor,Urban,West Dennisland,Maryland,USA,2023-09-26,2023-10-04,Mobile App,True
17,fharrison@example.org,Tyler,Alvarez,20,M,32971,Low Value,Widowed,Some College,Suburban,South Rachelland,Hawaii,USA,2023-10-03,2023-10-26,Mobile App,True
18,bairdjorge@example.org,Shannon,Caldwell,32,Other,37487,Low Value,Widowed,Master,Urban,Omarmouth,New York,USA,2024-10-04,2024-10-04,Mobile App,True
19,christopher79@example.com,Richard,Lewis,30,F,45962,Low Value,Single,High School,Urban,Richardport,New Jersey,USA,2024-09-21,2024-09-26,Web,True
20,tiffanywashington@example.org,Kristen,Rojas,28,F,42229,Low Value,Widowed,High School,Suburban,Coffeyfort,New Mexico,USA,2023-06-21,2023-07-02,Mobile App,True
21,pearsondana@example.com,Joshua,Wheeler,18,Other,45000,Low Value,Single,Some College,Rural,North Jill,Michigan,USA,2023-03-31,2023-04-02,Mobile App,False
22,drichardson@example.com,John,Smith,39,F,68241,Mid Value,Married,Bachelor,Urban,Deannabury,Florida,USA,2023-06-19,2023-07-01,Web,False
23,emartin@example.com,John,Watson,57,F,74194,Mid Value,Divorced,High School,Urban,North David,Connecticut,USA,2024-02-14,2024-03-13,Email,True
24,jill14@example.net,Katie,Walsh,49,M,98272,High Value,Widowed,Bachelor,Suburban,Toddburgh,Illinois,USA,2024-10-27,2024-11-21,Web,True
