customer_id,email,first_name,last_name,age,gender,annual_income,marital_status,education,location_type,city,state,country,signup_date,last_login,preferred_channel,is_active
890,evan49@example.com,Michael,Jones,39,Other,76836,Widowed,Master,Suburban,Scottfort,Kentucky,USA,2023-11-16,2025-02-06,Mobile App,TRUE
1076,gonzalezmichael@example.org,Adam,Collins,29,Other,47153,Widowed,Some College,Rural,West Ruthhaven,Alabama,USA,2023-04-08,2025-01-23,Mobile App,TRUE
3586,singhnicole@example.com,James,Pitts,22,F,39753,Divorced,Bachelor,Suburban,North Chris,New Jersey,USA,2023-09-19,2025-02-10,Web,TRUE
2997,josephschultz@example.net,Janet,Castillo,49,M,70967,Divorced,Bachelor,Urban,Pamelaburgh,Illinois,USA,2024-08-07,2025-01-20,Web,TRUE
131,deborah75@example.org,Amanda,Calderon,28,M,39673,Married,Bachelor,Suburban,West Nicholaston,California,USA,2024-09-12,2025-01-29,Email,TRUE
2984,sandovalmatthew@example.com,April,Delacruz,31,Other,52286,Single,Bachelor,Urban,North Nicholas,Florida,USA,2023-11-07,2025-01-24,Mobile App,TRUE
2043,nunezjennifer@example.com,Kristen,Owens,37,M,58351,Married,Bachelor,Suburban,North Geoffreyview,Texas,USA,2024-04-01,2025-02-14,Web,TRUE
3421,salasjennifer@example.net,Christopher,Parks,18,M,36306,Single,Bachelor,Urban,Stokesstad,Kentucky,USA,2024-04-09,2025-01-17,Email,TRUE
3435,thomasgarcia@example.com,Samantha,Nelson,69,F,77587,Married,Some College,Suburban,Port Elizabethton,Louisiana,USA,2024-07-30,2025-01-25,Web,TRUE
2096,nancy40@example.org,Gabriel,Rodriguez,35,Other,63055,Widowed,Bachelor,Suburban,Hayleymouth,Minnesota,USA,2024-12-21,2025-02-04,Email,TRUE
1613,elizabeth14@example.org,Timothy,Valdez,21,Other,34794,Divorced,Some College,Rural,North Cheryl,Illinois,USA,2024-06-14,2025-02-13,Mobile App,TRUE
2654,daniellewilkins@example.com,Jessica,Martinez,46,F,71481,Married,Master,Urban,Snyderside,Kentucky,USA,2024-11-11,2025-02-07,Email,TRUE
1023,sarasanchez@example.com,Emily,Wade,28,Other,41250,Single,Some College,Rural,Lauramouth,Massachusetts,USA,2025-01-28,2025-02-10,Mobile App,TRUE
1085,steven34@example.net,Dawn,Valenzuela,56,Other,86442,Married,Bachelor,Urban,Lake Katelyn,Florida,USA,2023-01-17,2025-02-15,Web,TRUE
3097,jessica21@example.com,Tracy,Horton,38,Other,70789,Married,High School,Rural,South Christine,Hawaii,USA,2024-05-09,2025-01-24,Email,TRUE
738,hmyers@example.org,Amanda,Mendoza,36,F,66963,Divorced,Bachelor,Rural,South Stephanieborough,Florida,USA,2023-05-13,2025-01-17,Mobile App,TRUE
3736,reginajordan@example.org,Nancy,Pruitt,23,F,35206,Widowed,Bachelor,Urban,Ericborough,Wyoming,USA,2023-02-18,2025-01-30,Mobile App,TRUE
