order_id,customer_id,order_date,status,total_amount,shipping_cost,payment_method,shipping_address,billing_address,created_at,updated_at
1000001,1000001,2025-02-21 14:34:14.535012,Processing,1304.31,19.76,Credit Card,397 Rachel Mission,2867 Angelica Spring,2025-02-21 14:34:14.535012,2025-02-21 15:33:14.535012
1000002,1000001,2025-02-15 14:34:14.535012,Delivered,1205.11,12.71,PayPal,064 Julie Prairie Apt. 065,017 Justin Falls,2025-02-15 14:34:14.535012,2025-02-15 14:50:14.535012
1000003,1000001,2025-02-17 14:34:14.535012,Shipped,439.97,19.86,Credit Card,656 Kane Lane,82512 Rice Stream Apt. 004,2025-02-17 14:34:14.535012,2025-02-17 15:31:14.535012
1000004,1000001,2025-02-17 14:34:14.535012,Shipped,890.4,17.76,Credit Card,868 Morrow Gateway Suite 524,106 John Cliff,2025-02-17 14:34:14.535012,2025-02-17 15:14:14.535012
1000005,1000001,2025-02-21 14:34:14.535012,Processing,10696.06,13.47,Credit Card,079 John Cape,3830 William Highway Apt. 959,2025-02-21 14:34:14.535012,2025-02-21 14:48:14.535012
1000006,1000002,2025-02-18 14:34:14.535012,Shipped,2262.09,13.69,Debit Card,42836 Hill Point Apt. 687,6856 Hernandez Lane,2025-02-18 14:34:14.535012,2025-02-18 15:15:14.535012
1000007,1000002,2025-02-17 14:34:14.535012,Shipped,1642.55,17.02,PayPal,733 Mathews Divide,86688 Paul Glens Apt. 517,2025-02-17 14:34:14.535012,2025-02-17 15:09:14.535012
1000008,1000002,2025-02-16 14:34:14.535012,Delivered,435.41,7.69,Credit Card,83046 Morgan Field Apt. 735,33173 Randy Garden Suite 467,2025-02-16 14:34:14.535012,2025-02-16 15:00:14.535012
1000009,1000003,2025-02-14 14:34:14.535012,Delivered,661.43,5.82,Credit Card,4587 Garcia Stravenue Suite 535,0932 Jose Prairie Suite 423,2025-02-14 14:34:14.535012,2025-02-14 14:56:14.535012
1000010,1000003,2025-02-22 14:34:14.535012,Pending,2200.81,18.13,PayPal,69378 Scott View Suite 772,28728 Alexandria Villages Apt. 006,2025-02-22 14:34:14.535012,2025-02-22 14:59:14.535012
1000011,1000003,2025-02-15 14:34:14.535012,Delivered,18698.12,16.16,Debit Card,312 Jeffery Motorway,99770 Amanda Loop Apt. 084,2025-02-15 14:34:14.535012,2025-02-15 15:11:14.535012
1000012,1000003,2025-02-12 14:34:14.535012,Delivered,420.47,6.07,PayPal,86211 John River Suite 546,6793 Kevin Views,2025-02-12 14:34:14.535012,2025-02-12 14:50:14.535012
1000013,1000003,2025-02-13 14:34:14.535012,Delivered,2857.29,18.38,Credit Card,016 Bennett Mountains,021 Bruce Rue,2025-02-13 14:34:14.535012,2025-02-13 15:31:14.535012
1000014,1000004,2025-02-18 14:34:14.535012,Shipped,686.36,12.75,Credit Card,180 Jason Ways Suite 401,902 Smith Fords Apt. 614,2025-02-18 14:34:14.535012,2025-02-18 15:14:14.535012
1000015,1000004,2025-02-15 14:34:14.535012,Delivered,7473.35,10.31,Credit Card,396 Reyes Streets,185 Connor Fort,2025-02-15 14:34:14.535012,2025-02-15 14:49:14.535012
1000016,1000004,2025-02-22 14:34:14.535012,Pending,1874.45,16.93,Credit Card,9996 Johnson Groves,3586 Lopez Prairie Suite 194,2025-02-22 14:34:14.535012,2025-02-22 15:05:14.535012
1000017,1000004,2025-02-20 14:34:14.535012,Processing,14044.34,5.38,Debit Card,114 Norman Tunnel,655 Christopher Inlet,2025-02-20 14:34:14.535012,2025-02-20 15:24:14.535012
1000018,1000004,2025-02-12 14:34:14.535012,Delivered,846.6,11.52,PayPal,4121 Ryan Point Suite 101,199 Shields Bridge Suite 661,2025-02-12 14:34:14.535012,2025-02-12 14:39:14.535012
1000019,1000004,2025-02-20 14:34:14.535012,Processing,1359.6,20.27,Credit Card,826 Dominic Hollow,2126 Fisher Orchard Apt. 543,2025-02-20 14:34:14.535012,2025-02-20 14:59:14.535012
1000020,1000005,2025-02-22 14:34:14.535012,Pending,429.15,9.28,Credit Card,937 Derek Avenue Suite 596,5692 Flores Square Apt. 752,2025-02-22 14:34:14.535012,2025-02-22 14:42:14.535012
1000021,1000005,2025-02-21 14:34:14.535012,Processing,440.47,18.11,Credit Card,4793 Bennett Viaduct Suite 519,828 Stephanie Mountain,2025-02-21 14:34:14.535012,2025-02-21 14:40:14.535012
1000022,1000005,2025-02-19 14:34:14.535012,Shipped,8413.26,12.64,PayPal,4167 Cynthia Garden,266 Shane Rapid Suite 968,2025-02-19 14:34:14.535012,2025-02-19 14:53:14.535012
1000023,1000005,2025-02-19 14:34:14.535012,Shipped,232.86,13.2,Debit Card,058 Daniel Gateway Suite 290,6101 Walker Summit Apt. 756,2025-02-19 14:34:14.535012,2025-02-19 15:14:14.535012
1000024,1000006,2025-02-19 14:34:14.535012,Shipped,392.79,9.54,Credit Card,982 Cuevas Orchard Apt. 461,254 Gibson Ford,2025-02-19 14:34:14.535012,2025-02-19 15:22:14.535012
1000025,1000007,2025-02-22 14:34:14.535012,Pending,8231.37,10.18,Debit Card,7177 Jones Cape Apt. 051,382 Mark Meadow,2025-02-22 14:34:14.535012,2025-02-22 15:02:14.535012
1000026,1000007,2025-02-02 14:34:14.535012,Delivered,2555.53,13.98,Debit Card,62266 Jo Flat Suite 966,334 Barbara Union,2025-02-02 14:34:14.535012,2025-02-02 14:43:14.535012
1000027,1000007,2025-02-09 14:34:14.535012,Delivered,1785.25,18.6,Credit Card,5371 Lambert Overpass,696 Michael Vista Suite 924,2025-02-09 14:34:14.535012,2025-02-09 14:51:14.535012
1000028,1000007,2025-02-04 14:34:14.535012,Delivered,801.09,11.29,Credit Card,251 Kevin Falls,286 Carlson Ports Suite 627,2025-02-04 14:34:14.535012,2025-02-04 15:34:14.535012
1000029,1000008,2025-02-19 14:34:14.535012,Shipped,1635.76,7.81,Credit Card,274 Jacob Ville,050 Taylor Via Suite 887,2025-02-19 14:34:14.535012,2025-02-19 15:19:14.535012
1000030,1000008,2025-01-29 14:34:14.535012,Delivered,4138.96,5.14,PayPal,767 Jackson Port Apt. 340,84279 Dunn Creek Apt. 485,2025-01-29 14:34:14.535012,2025-01-29 15:28:14.535012
1000031,1000008,2025-01-30 14:34:14.535012,Delivered,1919.08,7.04,Credit Card,783 Garcia Village,0745 Scott Crest,2025-01-30 14:34:14.535012,2025-01-30 14:51:14.535012
1000032,1000009,2025-02-20 14:34:14.535012,Processing,373.94,10.75,Credit Card,95962 Kristen Via,95849 Mario Squares,2025-02-20 14:34:14.535012,2025-02-20 14:39:14.535012
1000033,1000009,2025-02-19 14:34:14.535012,Shipped,315.18,16.23,Credit Card,9481 Sydney Turnpike Suite 042,25367 Barbara Grove,2025-02-19 14:34:14.535012,2025-02-19 15:03:14.535012
1000034,1000009,2025-02-17 14:34:14.535012,Shipped,1298.63,14.02,PayPal,7116 Neal Wells Suite 775,175 Laura Locks,2025-02-17 14:34:14.535012,2025-02-17 15:06:14.535012
1000035,1000009,2025-02-23 14:34:14.535012,Pending,1299.41,15.52,Credit Card,3745 Morgan Ports,750 Cory Tunnel,2025-02-23 14:34:14.535012,2025-02-23 14:53:14.535012
1000036,1000009,2025-02-12 14:34:14.535012,Delivered,595.4,16.13,PayPal,12770 Harris Spurs Apt. 424,541 Beck Run,2025-02-12 14:34:14.535012,2025-02-12 15:29:14.535012
1000037,1000010,2025-02-13 14:34:14.535012,Delivered,6367.18,10.78,Credit Card,64361 Aaron Neck,93870 Heather Viaduct,2025-02-13 14:34:14.535012,2025-02-13 14:46:14.535012
1000038,1000010,2025-02-21 14:34:14.535012,Processing,769.16,8.91,Credit Card,2713 Davis Valley,55426 Darlene Springs,2025-02-21 14:34:14.535012,2025-02-21 15:05:14.535012
1000039,1000010,2025-02-23 14:34:14.535012,Pending,703.15,6.61,Credit Card,89092 Bell Forest,9731 Donald Crossing,2025-02-23 14:34:14.535012,2025-02-23 15:25:14.535012
1000040,1000010,2025-02-22 14:34:14.535012,Pending,1235.99,6.86,PayPal,6523 Newman Gateway Suite 043,640 Troy Creek,2025-02-22 14:34:14.535012,2025-02-22 15:32:14.535012
1000041,1000013,2025-02-23 14:34:14.535012,Pending,2029.29,19.87,Credit Card,9180 Peck Curve,658 Kathryn Trail Apt. 091,2025-02-23 14:34:14.535012,2025-02-23 14:52:14.535012
1000042,1000013,2025-02-22 14:34:14.535012,Pending,13622.08,10.1,Credit Card,3006 Fuller Parkway,6188 Joshua Inlet Apt. 832,2025-02-22 14:34:14.535012,2025-02-22 15:25:14.535012
1000043,1000013,2025-02-16 14:34:14.535012,Delivered,121.36,18.83,Credit Card,9146 Brian Corners Suite 179,2102 Frank Key,2025-02-16 14:34:14.535012,2025-02-16 14:42:14.535012
1000044,1000014,2025-02-18 14:34:14.535012,Shipped,6393.21,17.44,Credit Card,52410 Roman Groves Apt. 491,8507 Michael Glens Apt. 913,2025-02-18 14:34:14.535012,2025-02-18 15:20:14.535012
1000045,1000014,2025-02-19 14:34:14.535012,Shipped,923.62,10.07,Credit Card,03075 Mora Fall,635 Robert Stravenue,2025-02-19 14:34:14.535012,2025-02-19 14:46:14.535012
1000046,1000014,2025-02-21 14:34:14.535012,Processing,804.83,11.16,Credit Card,1951 Harry Unions Apt. 617,5187 Miguel Highway Suite 937,2025-02-21 14:34:14.535012,2025-02-21 15:33:14.535012
1000047,1000014,2025-02-19 14:34:14.535012,Shipped,1181.81,6.65,Debit Card,738 Edward Lodge Apt. 385,0641 Alyssa Freeway,2025-02-19 14:34:14.535012,2025-02-19 15:32:14.535012
1000048,1000015,2025-02-20 14:34:14.535012,Processing,499.2,19.88,Credit Card,0241 Samantha Vista Suite 571,261 Ryan Curve,2025-02-20 14:34:14.535012,2025-02-20 15:20:14.535012
1000049,1000015,2025-02-07 14:34:14.535012,Delivered,1068.72,5.26,Credit Card,4565 Chavez Fort,29121 Shannon Island,2025-02-07 14:34:14.535012,2025-02-07 15:12:14.535012
1000050,1000015,2025-02-19 14:34:14.535012,Shipped,7383.41,15.73,PayPal,85374 Baker Crest Apt. 249,52135 Palmer Springs,2025-02-19 14:34:14.535012,2025-02-19 14:48:14.535012
1000051,1000015,2025-02-23 14:34:14.535012,Pending,1135.94,17.64,Debit Card,2067 Cody Cove Apt. 100,36519 Lowery Club,2025-02-23 14:34:14.535012,2025-02-23 15:34:14.535012
1000052,1000016,2025-02-02 14:34:14.535012,Delivered,81.03,6.21,Credit Card,37215 Brad Mountain,96670 Vega Extensions,2025-02-02 14:34:14.535012,2025-02-02 15:11:14.535012
1000053,1000017,2025-02-16 14:34:14.535012,Delivered,664.54,13.44,Debit Card,24472 Christina Ridges Apt. 476,14626 Dawn Union Apt. 806,2025-02-16 14:34:14.535012,2025-02-16 15:07:14.535012
1000054,1000017,2025-02-18 14:34:14.535012,Shipped,1996.98,6.88,PayPal,8759 Price Falls Apt. 593,0785 Terri Courts,2025-02-18 14:34:14.535012,2025-02-18 15:18:14.535012
1000055,1000018,2025-02-22 14:34:14.535012,Pending,2177.22,9.7,Debit Card,348 Kathryn Forges,2239 Drake Square Suite 905,2025-02-22 14:34:14.535012,2025-02-22 15:31:14.535012
1000056,1000018,2025-02-18 14:34:14.535012,Shipped,227.27,17.91,PayPal,378 Thompson Camp,39308 Smith Ridges,2025-02-18 14:34:14.535012,2025-02-18 14:46:14.535012
1000057,1000018,2025-02-17 14:34:14.535012,Shipped,198.97,16.62,PayPal,52500 Brenda Divide,515 Willis Junction,2025-02-17 14:34:14.535012,2025-02-17 15:30:14.535012
1000058,1000018,2025-02-19 14:34:14.535012,Shipped,920.37,13.4,Credit Card,2267 Thompson Points Suite 392,4220 Rosales Trail Apt. 295,2025-02-19 14:34:14.535012,2025-02-19 15:24:14.535012
1000059,1000018,2025-02-22 14:34:14.535012,Pending,3821.07,16.05,Debit Card,917 Mark Club,5215 Smith Fords,2025-02-22 14:34:14.535012,2025-02-22 14:52:14.535012
1000060,1000019,2025-02-12 14:34:14.535012,Delivered,2054.3,17.61,Debit Card,154 Jennifer Causeway,6267 Bell Lane Apt. 793,2025-02-12 14:34:14.535012,2025-02-12 15:32:14.535012
1000061,1000019,2025-02-19 14:34:14.535012,Shipped,310.31,14.03,PayPal,1040 Green Cove,2621 Matthew Ridges,2025-02-19 14:34:14.535012,2025-02-19 15:14:14.535012
1000062,1000020,2025-02-15 14:34:14.535012,Delivered,317.74,17.83,PayPal,062 Moore Courts Suite 336,443 Brandon Ports Suite 205,2025-02-15 14:34:14.535012,2025-02-15 14:50:14.535012
1000063,1000021,2025-02-20 14:34:14.535012,Processing,8727.81,17.47,Debit Card,1497 Collin Ford,417 Kyle Locks,2025-02-20 14:34:14.535012,2025-02-20 15:27:14.535012
1000064,1000021,2025-02-04 14:34:14.535012,Delivered,564.99,9.23,PayPal,4186 Nathan Light Suite 270,7434 Edward Square Apt. 158,2025-02-04 14:34:14.535012,2025-02-04 15:26:14.535012
1000065,1000022,2025-02-23 14:34:14.535012,Pending,865.96,9.62,Debit Card,380 Cardenas Manor Suite 937,60898 David Throughway Suite 223,2025-02-23 14:34:14.535012,2025-02-23 15:19:14.535012
1000066,1000022,2025-02-21 14:34:14.535012,Processing,2022.4,8.13,Debit Card,06163 Mary Green,116 Arnold Walks Suite 870,2025-02-21 14:34:14.535012,2025-02-21 14:47:14.535012
1000067,1000022,2025-02-23 14:34:14.535012,Pending,7810.78,14.96,Credit Card,62299 Sara Port Apt. 485,6799 Johnson Harbor Suite 299,2025-02-23 14:34:14.535012,2025-02-23 15:09:14.535012
1000068,1000022,2025-02-23 14:34:14.535012,Pending,993.87,13.75,Debit Card,65307 Prince Brooks Suite 444,132 Mccann Mills Suite 469,2025-02-23 14:34:14.535012,2025-02-23 15:06:14.535012
1000069,1000023,2025-02-20 14:34:14.535012,Processing,487.66,5.26,PayPal,73678 Nicholson Passage,48628 Glenn Wells,2025-02-20 14:34:14.535012,2025-02-20 14:51:14.535012
1000070,1000023,2025-02-03 14:34:14.535012,Delivered,130.63,16.48,Credit Card,30705 Joshua View,610 Nathan Ranch Suite 279,2025-02-03 14:34:14.535012,2025-02-03 14:42:14.535012
1000071,1000023,2025-02-17 14:34:14.535012,Shipped,1019.83,17.0,Debit Card,2414 Paul Estates Apt. 333,680 Thomas Curve Apt. 903,2025-02-17 14:34:14.535012,2025-02-17 15:26:14.535012
1000072,1000024,2025-02-20 14:34:14.535012,Processing,2600.85,13.61,Credit Card,446 York Mount Suite 374,108 Hoffman Ranch Suite 417,2025-02-20 14:34:14.535012,2025-02-20 15:03:14.535012
1000073,1000024,2025-02-16 14:34:14.535012,Delivered,5535.96,11.41,Debit Card,4544 Lopez Path,96520 Bright Green,2025-02-16 14:34:14.535012,2025-02-16 15:07:14.535012
1000074,1000024,2025-02-23 14:34:14.535012,Pending,965.58,8.5,PayPal,6099 Matthew Station Apt. 875,82417 Joyce Stream Apt. 513,2025-02-23 14:34:14.535012,2025-02-23 14:51:14.535012
1000075,1000025,2025-02-07 14:34:14.535012,Delivered,9072.06,11.9,Credit Card,46554 Ford Crest Suite 099,3816 Gutierrez Ways,2025-02-07 14:34:14.535012,2025-02-07 15:14:14.535012
1000076,1000025,2025-02-06 14:34:14.535012,Delivered,2439.23,7.05,Credit Card,35697 Leslie Stravenue,75250 Shannon Fords,2025-02-06 14:34:14.535012,2025-02-06 14:48:14.535012
1000077,1000025,2025-01-30 14:34:14.535012,Delivered,2052.31,7.41,PayPal,271 Christina Roads,6760 Amanda Street Suite 058,2025-01-30 14:34:14.535012,2025-01-30 15:14:14.535012
1000078,1000026,2025-02-08 14:34:14.535012,Delivered,3223.63,6.18,Credit Card,03354 Curtis Parkway,10447 Hamilton Spur Apt. 575,2025-02-08 14:34:14.535012,2025-02-08 15:13:14.535012
1000079,1000026,2025-02-14 14:34:14.535012,Delivered,2415.57,11.21,PayPal,60332 Jessica Radial,50648 Brittney Causeway,2025-02-14 14:34:14.535012,2025-02-14 15:12:14.535012
1000080,1000026,2025-02-12 14:34:14.535012,Delivered,2688.47,20.23,Credit Card,001 Wallace Crossing,2304 Stanley Shore Suite 992,2025-02-12 14:34:14.535012,2025-02-12 14:41:14.535012
1000081,1000026,2025-02-18 14:34:14.535012,Shipped,229.72,18.54,Credit Card,89141 Tyler Rest Apt. 483,642 Amy Fords Suite 530,2025-02-18 14:34:14.535012,2025-02-18 15:13:14.535012
1000082,1000026,2025-02-20 14:34:14.535012,Processing,737.54,9.37,Debit Card,119 Hernandez Course,143 Hinton Hill,2025-02-20 14:34:14.535012,2025-02-20 15:07:14.535012
1000083,1000026,2025-02-12 14:34:14.535012,Delivered,865.59,5.74,PayPal,0120 Ward Springs Suite 611,22557 Johns Course,2025-02-12 14:34:14.535012,2025-02-12 15:13:14.535012
1000084,1000026,2025-01-28 14:34:14.535012,Delivered,3252.51,14.61,PayPal,2166 Nelson Lights Suite 621,021 Pruitt Orchard,2025-01-28 14:34:14.535012,2025-01-28 15:20:14.535012
1000085,1000026,2025-02-23 14:34:14.535012,Pending,297.58,19.37,Credit Card,96590 Timothy Oval Apt. 670,5089 Tiffany Skyway,2025-02-23 14:34:14.535012,2025-02-23 14:43:14.535012
1000086,1000026,2025-01-29 14:34:14.535012,Delivered,895.18,7.78,PayPal,891 Stanley Gateway Suite 562,28772 Karen Islands,2025-01-29 14:34:14.535012,2025-01-29 15:06:14.535012
1000087,1000027,2025-02-17 14:34:14.535012,Shipped,1303.43,5.33,PayPal,4083 Powell Freeway,7971 West Crest,2025-02-17 14:34:14.535012,2025-02-17 15:23:14.535012
1000088,1000028,2025-02-03 14:34:14.535012,Delivered,679.57,10.51,Credit Card,016 Johnson Plaza Apt. 199,837 Cox Center Apt. 758,2025-02-03 14:34:14.535012,2025-02-03 15:04:14.535012
1000089,1000028,2025-02-22 14:34:14.535012,Pending,6841.28,5.54,PayPal,571 Katherine Forges Apt. 554,102 Taylor Stravenue Suite 149,2025-02-22 14:34:14.535012,2025-02-22 15:19:14.535012
1000090,1000029,2025-02-23 14:34:14.535012,Pending,315.52,9.6,Credit Card,16373 Rodriguez Mall,917 Barrett Parkways,2025-02-23 14:34:14.535012,2025-02-23 14:41:14.535012
1000091,1000029,2025-02-23 14:34:14.535012,Pending,218.52,13.78,Credit Card,0808 Roberson Orchard,922 Paul Rapid,2025-02-23 14:34:14.535012,2025-02-23 15:26:14.535012
1000092,1000029,2025-02-24 14:34:14.535012,Pending,502.13,8.29,Credit Card,669 Joshua Junctions Suite 722,848 Joseph Plaza Apt. 339,2025-02-24 14:34:14.535012,2025-02-24 14:46:14.535012
1000093,1000029,2025-02-23 14:34:14.535012,Pending,12739.22,15.28,Credit Card,522 Page Trace Suite 879,846 Alexandra Burg Suite 200,2025-02-23 14:34:14.535012,2025-02-23 15:14:14.535012
1000094,1000029,2025-02-23 14:34:14.535012,Pending,9078.82,9.49,PayPal,2442 Hannah Hill,057 Christina Spring,2025-02-23 14:34:14.535012,2025-02-23 14:54:14.535012
1000095,1000029,2025-02-23 14:34:14.535012,Pending,2610.19,9.41,PayPal,863 Schwartz Causeway,6580 Julia Flats Suite 359,2025-02-23 14:34:14.535012,2025-02-23 15:15:14.535012
1000096,1000030,2025-02-18 14:34:14.535012,Shipped,77.5,17.36,PayPal,347 Tonya Club,81606 Hawkins Curve,2025-02-18 14:34:14.535012,2025-02-18 14:56:14.535012
1000097,1000030,2025-02-18 14:34:14.535012,Shipped,572.96,7.11,Credit Card,405 Mckinney Drives,59094 Tyler Plaza,2025-02-18 14:34:14.535012,2025-02-18 15:14:14.535012
1000098,1000030,2025-02-10 14:34:14.535012,Delivered,417.54,7.74,Credit Card,58328 Kristie Estate Suite 886,3355 Carter Terrace,2025-02-10 14:34:14.535012,2025-02-10 15:25:14.535012
