CUSTOMER_ID,EMAIL,FIRST_NAME,LAST_NAME,AGE,GENDER,ANNUAL_INCOME,MARITAL_STATUS,EDUCATION,LOCATION_TYPE,CITY,STATE,COUNTRY,SIGNUP_DATE,LAST_LOGIN,PREFERRED_CHANNEL,IS_ACTIVE,DATA_SOURCE,BATCH_ID,LOADED_AT
1,charlesharrington@example.com,Matthew,Schwartz,45,M,104627,Married,Some College,Suburban,Port Markside,Missouri,USA,2023-12-06 00:00:00,2023-12-30T00:00:00.000,Web,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2938,briannareid@example.org,Joy,Moore,68,F,62881,Married,Bachelor,Suburban,Loganberg,Delaware,USA,2024-03-24 00:00:00,2024-03-28T00:00:00.000,Email,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2944,ksmith@example.com,Lori,Short,71,Other,65859,Divorced,Bachelor,Urban,Mercadoview,New Hampshire,USA,2023-02-06 00:00:00,2023-02-11T00:00:00.000,Web,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2943,valenzuelajonathan@example.net,Robert,Gordon,55,Other,68345,Single,Some College,Urban,Derrickview,New York,USA,2024-04-19 00:00:00,2024-04-23T00:00:00.000,Web,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2942,klee@example.net,Donna,Rivas,33,F,60499,Single,Some College,Suburban,North Tinaburgh,Nebraska,USA,2024-08-29 00:00:00,2024-09-08T00:00:00.000,Email,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2941,christine57@example.net,Amber,Small,23,Other,27524,Married,Some College,Urban,New Sarah,Arkansas,USA,2023-08-16 00:00:00,2023-08-31T00:00:00.000,Mobile App,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2940,nicoledixon@example.net,Steven,Goodman,39,F,76653,Widowed,Bachelor,Urban,South Kimberly,Massachusetts,USA,2024-06-03 00:00:00,2024-07-01T00:00:00.000,Web,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2939,hornjeffrey@example.com,Christopher,Thompson,42,M,74444,Single,Some College,Urban,Williamston,Oklahoma,USA,2024-07-17 00:00:00,2024-08-06T00:00:00.000,Web,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2937,egraham@example.org,Rita,Reyes,27,M,56693,Married,Bachelor,Suburban,New Deborahbury,Wisconsin,USA,2023-07-25 00:00:00,2023-08-09T00:00:00.000,Web,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
3032,hinesvalerie@example.com,Stephanie,Baker,57,Other,89033,Widowed,High School,Suburban,Russellfort,California,USA,2024-07-12 00:00:00,2024-07-12T00:00:00.000,Web,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
2936,blancharderika@example.org,Benjamin,Clark,18,Other,28897,Widowed,Bachelor,Rural,West Kyle,Arizona,USA,2024-11-28 00:00:00,2024-12-23T00:00:00.000,Email,True,historic,f2a0b71e-e794-4b51-aa21-43aff4aac73d,2025-02-23 15:00:29
